anime_id,title,type,score,members,favorites,genres,themes,demographics,studios
5114,Fullmetal Alchemist: Brotherhood,tv,9.1,3206028,219036,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen'],['Bones']
11061,Hunter x Hunter (2011),tv,9.04,2688079,202109,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],['Madhouse']
38524,Shingeki no Kyojin Season 3 Part 2,tv,9.05,2133927,55644,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio']
9253,Steins;Gate,tv,9.07,2463954,184312,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",[],['White Fox']
28851,Koe no Katachi,movie,8.94,2218467,84124,"['Award Winning', 'Drama']",['Romantic Subtext'],['Shounen'],['Kyoto Animation']
32281,Kimi no Na wa.,movie,8.84,2624738,87856,"['Award Winning', 'Drama', 'Supernatural']",['Romantic Subtext'],[],['CoMix Wave Films']
2904,Code Geass: Hangyaku no Lelouch R2,tv,8.91,1714368,74991,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'Super Power']",[],['Sunrise']
40028,Shingeki no Kyojin: The Final Season,tv,8.8,1872476,51504,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['MAPPA']
199,Sen to Chihiro no Kamikakushi,movie,8.78,1777836,31487,"['Adventure', 'Award Winning', 'Supernatural']",['Mythology'],[],['Studio Ghibli']
1575,Code Geass: Hangyaku no Lelouch,tv,8.7,2169252,106054,"['Action', 'Award Winning', 'Drama', 'Sci-Fi']","['Mecha', 'Military', 'School', 'Super Power']",[],['Sunrise']
1535,Death Note,tv,8.62,3747523,168772,"['Supernatural', 'Suspense']","['Detective', 'Psychological']",['Shounen'],['Madhouse']
21,One Piece,tv,8.7,2204897,203640,"['Action', 'Adventure', 'Fantasy']",[],['Shounen'],['Toei Animation']
40748,Jujutsu Kaisen,tv,8.63,2304046,82645,"['Action', 'Award Winning', 'Fantasy']",['School'],['Shounen'],['MAPPA']
35760,Shingeki no Kyojin Season 3,tv,8.62,2239336,19933,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio']
23273,Shigatsu wa Kimi no Uso,tv,8.65,2130316,83956,"['Drama', 'Romance']","['Love Polygon', 'Music', 'School']",['Shounen'],['A-1 Pictures']
37510,Mob Psycho 100 II,tv,8.8,1450818,31753,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[],['Bones']
16498,Shingeki no Kyojin,tv,8.54,3779820,165109,"['Action', 'Award Winning', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio']
1,Cowboy Bebop,tv,8.75,1788584,79192,"['Action', 'Award Winning', 'Sci-Fi']","['Adult Cast', 'Space']",[],['Sunrise']
47778,Kimetsu no Yaiba: Yuukaku-hen,tv,8.79,1287198,23792,"['Action', 'Fantasy']",['Historical'],['Shounen'],['ufotable']
33352,Violet Evergarden,tv,8.67,1695886,58458,"['Drama', 'Fantasy']",[],[],['Kyoto Animation']
30276,One Punch Man,tv,8.5,3087808,62773,"['Action', 'Comedy']","['Adult Cast', 'Parody', 'Super Power']",['Seinen'],['Madhouse']
32935,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,tv,8.78,1152923,15228,['Sports'],"['School', 'Team Sports']",['Shounen'],['Production I.G']
25777,Shingeki no Kyojin Season 2,tv,8.51,2593983,20999,"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen'],['Wit Studio']
37521,Vinland Saga,tv,8.74,1391351,43375,"['Action', 'Adventure', 'Drama']","['Gore', 'Historical']",['Seinen'],['Wit Studio']
38000,Kimetsu no Yaiba,tv,8.5,2853413,89446,"['Action', 'Award Winning', 'Fantasy']",['Historical'],['Shounen'],['ufotable']
431,Howl no Ugoku Shiro,movie,8.66,1268885,27227,"['Adventure', 'Award Winning', 'Drama', 'Fantasy', 'Romance']",[],[],['Studio Ghibli']
40456,Kimetsu no Yaiba Movie: Mugen Ressha-hen,movie,8.61,1431239,12923,"['Action', 'Fantasy']",['Historical'],['Shounen'],['ufotable']
4181,Clannad: After Story,tv,8.93,1157642,69183,"['Drama', 'Romance', 'Supernatural']",[],[],['Kyoto Animation']
28891,Haikyuu!! Second Season,tv,8.63,1373327,15553,['Sports'],"['School', 'Team Sports']",['Shounen'],['Production I.G']
2001,Tengen Toppa Gurren Lagann,tv,8.63,1558970,76345,"['Action', 'Adventure', 'Award Winning', 'Sci-Fi']",['Mecha'],[],['Gainax']
164,Mononoke Hime,movie,8.67,1201948,20896,"['Action', 'Adventure', 'Award Winning', 'Fantasy']",[],[],['Studio Ghibli']
40591,Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,tv,8.64,1274580,18708,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",['Seinen'],['A-1 Pictures']
37779,Yakusoku no Neverland,tv,8.51,1885995,32250,"['Fantasy', 'Mystery', 'Sci-Fi', 'Suspense']","['Psychological', 'Survival']",['Shounen'],['CloverWorks']
48583,Shingeki no Kyojin: The Final Season Part 2,tv,8.77,1159800,29355,"['Action', 'Drama']","['Gore', 'Military', 'Survival']",['Shounen'],['MAPPA']
50265,Spy x Family,tv,8.6,1387256,37892,"['Action', 'Award Winning', 'Comedy']",['Childcare'],['Shounen'],"['Wit Studio', 'CloverWorks']"
32182,Mob Psycho 100,tv,8.49,1978558,45948,"['Action', 'Comedy', 'Supernatural']",['Super Power'],[],['Bones']
34599,Made in Abyss,tv,8.66,1310134,42358,"['Adventure', 'Drama', 'Fantasy', 'Mystery', 'Sci-Fi']","['Gore', 'Survival']",[],['Kinema Citrus']
20583,Haikyuu!!,tv,8.44,1888573,71337,['Sports'],"['School', 'Team Sports']",['Shounen'],['Production I.G']
43608,Kaguya-sama wa Kokurasetai: Ultra Romantic,tv,9.04,843192,29680,"['Comedy', 'Romance']",['School'],['Seinen'],['A-1 Pictures']
44511,Chainsaw Man,tv,8.57,1323404,42616,"['Action', 'Fantasy']",['Gore'],['Shounen'],['MAPPA']
30654,Ansatsu Kyoushitsu 2nd Season,tv,8.49,1374412,17308,"['Action', 'Comedy']",['School'],['Shounen'],['Lerche']
11741,Fate/Zero 2nd Season,tv,8.55,1083386,20173,"['Action', 'Fantasy', 'Supernatural']",[],[],['ufotable']
37991,JoJo no Kimyou na Bouken Part 5: Ougon no Kaze,tv,8.58,970669,30712,"['Action', 'Adventure', 'Supernatural']",['Organized Crime'],['Shounen'],['David Production']
37999,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,tv,8.41,1653700,38140,['Comedy'],"['Psychological', 'Romantic Subtext', 'School']",['Seinen'],['A-1 Pictures']
